Year,Observations,Events,Event Rate,ROC-AUC,PR-AUC,Brier
2020,1512,58,0.03835978835978836,0.8635927050230043,0.2797342920216916,0.03192657749373253
2021,1512,48,0.031746031746031744,0.8672088456284153,0.2913324190417841,0.02658498934542032
2022,1512,51,0.03373015873015873,0.8258579270174874,0.227557093999718,0.029227655677749906
2023,1512,52,0.03439153439153439,0.915213382507903,0.33359324309295935,0.027292507384122686
2024,1512,44,0.0291005291005291,0.9308041243497647,0.3983220709949362,0.022599990998560988
2025,756,20,0.026455026455026454,0.8941576086956521,0.3422492145376715,0.02185811506565498
