Threshold,Precision,Recall,F1,Predicted Events,True Positives,False Positives,False Negatives
0.5,0.6551724137931034,0.0695970695970696,0.12582781456953643,29,19,10,254
0.4,0.4852941176470588,0.12087912087912088,0.1935483870967742,68,33,35,240
0.3,0.40458015267175573,0.19413919413919414,0.2623762376237624,131,53,78,220
0.25,0.3850267379679144,0.26373626373626374,0.3130434782608696,187,72,115,201
0.2,0.36964980544747084,0.34798534798534797,0.3584905660377358,257,95,162,178
0.15,0.2977667493796526,0.43956043956043955,0.35502958579881655,403,120,283,153
0.1,0.21364985163204747,0.5274725274725275,0.3041182682154171,674,144,530,129
0.05,0.13932107496463933,0.7216117216117216,0.23355068168346177,1414,197,1217,76
