Threshold,Precision,Recall,F1,True Positives,False Positives,False Negatives,Alerts
0.5,0.6551724137931034,0.0695970695970696,0.12582781456953643,19,10,254,29
0.2,0.36964980544747084,0.34798534798534797,0.3584905660377358,95,162,178,257
