feature,importance_mean,importance_std
fatalities_std_12m,0.13060424818111055,0.006644588622216516
regime_change_1m,0.08464814995054677,0.005634349011680921
fatalities_std_6m,0.06488758275555125,0.008229452465366272
fatalities_lag_1,0.05939147948689336,0.005215357289274428
fatalities_lag_6,0.04748657397724359,0.003638396791215211
regime_change_3m,0.04255465371969508,0.005696801648806562
months_active_12m,0.01589789135670283,0.004896645214596126
fatalities_lag_3,0.015546126250668337,0.0033944628790691946
fatalities_mean_12m,0.015054273958490053,0.001801474799913896
fatalities_mean_3m,0.0078102866810685154,0.0019922687466873176
regime_lag_3,0.0012149362575135491,0.0015843392738094703
regime_lag_1,0.0004212572322818964,0.0006443555752220986
regime_lag_6,0.0,0.0
fatalities_mean_6m,-0.0032317247793963886,0.003656062560458856
