Model,Features,ROC-AUC,PR-AUC,Brier
Conflict History Only,14,0.8927641217831443,0.25600614478922584,0.027683525182735945
External Features Only,6,0.7801986028394086,0.14125443121831366,0.03041398726184897
Full Model,20,0.8817279740442738,0.28669336564930303,0.027011050624075255
