country,country_id,region,month,predicted_risk,fatalities_per_100k
Namibia,565,Africa,2025-12-01,0.007331344137176424,0.0
Comoros,581,Africa,2025-12-01,0.007288972017224945,0.0
Solomon Islands,940,Asia,2025-12-01,0.007288972017224945,0.0
Djibouti,522,Africa,2025-12-01,0.007205077491745683,0.0
Croatia,344,Europe,2025-12-01,0.007104834455761916,0.0
Panama,95,Americas,2025-12-01,0.007104834455761916,0.0
Albania,339,Europe,2025-12-01,0.007104834455761916,0.0
Bhutan,760,Asia,2025-12-01,0.006696249828455364,0.0
Cyprus,352,Europe,2025-12-01,0.006564848286455657,0.0
Bahrain,692,Middle East,2025-12-01,0.006564848286455657,0.0
Trinidad and Tobago,52,Americas,2025-12-01,0.006564848286455657,0.0
Malta,338,Europe,2025-12-01,0.006564848286455657,0.0
Ukraine,369,Europe,2025-12-01,0.005659866169340324,25.92843127013449
